Gabor_feature_0,Gabor_feature_1,Gabor_feature_2,Gabor_feature_3,Gabor_feature_4,Gabor_feature_5,Gabor_feature_6,Gabor_feature_7,Gabor_feature_8,Gabor_feature_9,Gabor_feature_10,Gabor_feature_11,Gabor_feature_12,Gabor_feature_13,Gabor_feature_14,Gabor_feature_15,Gabor_feature_16,Gabor_feature_17,Gabor_feature_18,Gabor_feature_19,Gabor_feature_20,Gabor_feature_21,Gabor_feature_22,Gabor_feature_23,Gabor_feature_24,Gabor_feature_25,Gabor_feature_26,Gabor_feature_27,Gabor_feature_28,Gabor_feature_29,Gabor_feature_30,Gabor_feature_31,Gabor_feature_32,Gabor_feature_33,Gabor_feature_34,Gabor_feature_35,Gabor_feature_36,Gabor_feature_37,Gabor_feature_38,Gabor_feature_39,Gabor_feature_40,Gabor_feature_41,Gabor_feature_42,Gabor_feature_43,Gabor_feature_44,Gabor_feature_45,Gabor_feature_46,Gabor_feature_47,Gabor_feature_48,Gabor_feature_49,Gabor_feature_50,Gabor_feature_51,Gabor_feature_52,Gabor_feature_53,Gabor_feature_54,Gabor_feature_55,Gabor_feature_56,Gabor_feature_57,Gabor_feature_58,Gabor_feature_59,Gabor_feature_60,Gabor_feature_61,Gabor_feature_62,Gabor_feature_63,label
0.8027,inf,0.0,inf,1.026,inf,0.0,inf,1.479,inf,0.0,inf,2.59,inf,0.0,inf,0.4116,inf,0.0,37060.0,0.5444,inf,0.0,49000.0,0.8413,inf,0.0,inf,1.462,inf,0.0,inf,0.2544,inf,0.0,22900.0,0.2432,inf,0.0,21890.0,0.4558,inf,0.0,41020.0,0.805,inf,0.0,inf,0.6885,0.834,1.0,62000.0,0.09607,0.4272,0.0,8640.0,0.7437,inf,1.0,inf,0.203,inf,0.0,18270.0,mouse
4.133,inf,2.236,inf,1.835,inf,0.0,inf,1.752,inf,0.0,inf,1.7,inf,0.0,inf,2.42,inf,0.0,inf,1.023,inf,0.0,inf,0.9893,inf,0.0,inf,0.921,inf,0.0,inf,1.444,inf,0.0,inf,0.5513,inf,0.0,49630.0,0.498,inf,0.0,44830.0,0.4355,inf,0.0,39200.0,0.878,inf,1.0,inf,0.1436,0.549,0.0,12920.0,0.5605,inf,0.0,50430.0,0.1251,0.5244,0.0,11260.0,backpack
0.6753,inf,0.0,60800.0,1.004,inf,0.0,inf,1.626,inf,0.0,inf,1.124,inf,0.0,inf,0.3787,inf,0.0,34080.0,0.5264,inf,0.0,47360.0,0.8623,inf,0.0,inf,0.6445,inf,0.0,58000.0,0.218,inf,0.0,19620.0,0.277,inf,0.0,24930.0,0.4358,inf,0.0,39230.0,0.304,inf,0.0,27340.0,0.8296,inf,1.0,inf,0.10986,0.6055,0.0,9890.0,0.913,inf,1.0,inf,0.1168,0.5996,0.0,10504.0,projector
2.686,inf,0.0,inf,2.416,inf,0.0,inf,2.562,inf,0.0,inf,2.193,inf,0.0,inf,1.628,inf,0.0,inf,1.432,inf,0.0,inf,1.529,inf,0.0,inf,1.377,inf,0.0,inf,1.023,inf,0.0,inf,0.8174,inf,0.0,inf,0.934,inf,0.0,inf,0.8184,inf,0.0,inf,1.087,inf,1.0,inf,0.2214,0.709,0.0,19920.0,1.029,inf,1.0,inf,0.2292,0.733,0.0,20640.0,bike
2.322,inf,0.0,inf,1.072,inf,0.0,inf,3.273,inf,0.0,inf,1.104,inf,0.0,inf,1.594,inf,0.0,inf,0.908,inf,0.0,inf,2.062,inf,0.0,inf,0.924,inf,0.0,inf,1.077,inf,0.0,inf,0.616,inf,0.0,55420.0,1.149,inf,0.0,inf,0.538,inf,0.0,48420.0,1.094,inf,1.0,inf,0.1703,0.7217,0.0,15330.0,1.057,inf,1.0,inf,0.1569,0.676,0.0,14120.0,monitor
2.043,inf,0.0,inf,1.243,inf,0.0,inf,3.01,inf,1.414,inf,1.16,inf,0.0,inf,1.053,inf,0.0,inf,0.6978,inf,0.0,62820.0,1.821,inf,0.0,inf,0.6274,inf,0.0,56450.0,0.511,inf,0.0,45980.0,0.3145,inf,0.0,28300.0,0.8657,inf,0.0,inf,0.2524,inf,0.0,22740.0,0.4282,inf,0.0,38530.0,0.06174,0.364,0.0,5556.0,0.5645,inf,0.0,50850.0,0.05533,0.3298,0.0,4980.0,mug
0.4563,inf,0.0,41060.0,1.488,inf,0.0,inf,1.496,inf,0.0,inf,2.025,inf,0.0,inf,0.2277,0.8516,0.0,20480.0,1.034,inf,0.0,inf,0.8813,inf,0.0,inf,1.231,inf,0.0,inf,0.159,0.597,0.0,14320.0,0.526,inf,0.0,47360.0,0.475,inf,0.0,42750.0,0.7085,inf,0.0,63780.0,0.743,inf,1.0,inf,0.1401,0.569,0.0,12616.0,0.865,inf,1.0,inf,0.1372,0.5034,0.0,12344.0,keyboard
2.688,inf,0.0,inf,0.9043,inf,0.0,inf,1.117,inf,0.0,inf,1.262,inf,0.0,inf,1.293,inf,0.0,inf,0.5093,inf,0.0,45820.0,0.6426,inf,0.0,57860.0,0.646,inf,0.0,58180.0,0.6353,inf,0.0,57200.0,0.262,inf,0.0,23570.0,0.355,inf,0.0,31970.0,0.2988,inf,0.0,26880.0,0.7554,inf,1.0,inf,0.02533,0.1725,0.0,2280.0,0.71,0.6523,1.0,63900.0,0.02982,0.2,0.0,2684.0,headphones
4.06,inf,2.0,inf,1.57,inf,0.0,inf,5.344,inf,5.0,inf,1.551,inf,1.0,inf,3.297,inf,0.0,inf,1.684,inf,0.0,inf,4.34,inf,1.0,inf,1.805,inf,0.0,inf,2.066,inf,0.0,inf,0.972,inf,0.0,inf,2.93,inf,0.0,inf,1.131,inf,0.0,inf,1.634,inf,1.0,inf,0.656,inf,0.0,58980.0,2.012,inf,1.0,inf,0.6816,inf,0.0,61340.0,calculator
3.2,inf,0.0,inf,1.162,inf,0.0,inf,4.105,inf,1.0,inf,1.254,inf,0.0,inf,2.799,inf,0.0,inf,1.196,inf,0.0,inf,3.055,inf,0.0,inf,1.227,inf,0.0,inf,1.835,inf,0.0,inf,0.834,inf,0.0,inf,1.843,inf,0.0,inf,0.895,inf,0.0,inf,1.787,inf,1.0,inf,0.681,inf,0.0,61280.0,1.803,inf,1.0,inf,0.6284,inf,0.0,56580.0,calculator
