mean_intensity_red,mean_intensity_green,mean_intensity_blue,label
204.2,202.33,201.86,mouse
142.54,139.72,140.44,backpack
221.09,221.67,219.53,projector
222.68,222.2,228.85,bike
220.57,222.72,191.35,monitor
169.17,164.74,165.43,mug
196.95,193.73,192.41,keyboard
205.37,199.95,197.44,headphones
190.11,191.73,191.54,calculator
208.33,207.97,206.74,calculator
209.62,207.87,208.59,calculator
155.75,154.48,155.41,backpack
221.72,220.01,220.71,calculator
235.0,234.04,232.56,laptop
226.99,224.35,224.83,mouse
198.37,195.01,191.8,mouse
195.69,194.47,193.44,keyboard
183.05,183.78,191.66,keyboard
230.56,230.77,229.98,bike
228.14,228.06,227.48,projector
174.37,177.34,188.49,mug
225.96,225.97,226.22,bike
145.76,220.98,235.97,mug
234.69,232.02,230.96,mug
145.32,156.15,148.88,backpack
224.8,224.33,228.0,mug
205.41,204.3,201.71,projector
129.64,159.24,205.26,monitor
226.29,226.3,226.71,projector
221.7,223.32,224.54,mug
204.6,201.56,199.58,mouse
217.82,217.63,217.68,projector
216.89,217.18,218.36,mouse
212.2,212.73,212.79,projector
210.63,209.84,202.06,calculator
230.2,229.82,229.87,bike
188.9,186.78,186.48,backpack
227.65,229.06,230.14,bike
221.87,222.93,221.83,projector
209.45,210.07,209.8,headphones
197.92,197.45,197.23,backpack
234.46,234.07,233.66,bike
246.84,247.1,247.53,mouse
191.52,190.64,191.32,mouse
205.61,207.44,204.27,calculator
205.0,204.8,204.8,keyboard
171.69,171.74,172.08,projector
236.8,236.78,231.87,laptop
159.73,157.46,157.26,backpack
188.29,188.0,238.05,laptop
177.53,178.37,176.84,monitor
189.95,188.27,194.53,mouse
178.46,177.53,177.56,calculator
202.61,207.87,209.4,monitor
212.04,211.2,210.88,calculator
225.52,223.15,234.02,laptop
216.11,215.33,215.39,projector
224.84,221.93,216.24,calculator
177.87,168.15,175.3,mouse
189.65,185.48,183.26,mouse
137.49,153.55,160.25,laptop
184.72,175.55,162.47,laptop
140.25,146.65,183.18,mug
180.69,178.74,171.34,laptop
205.22,203.3,203.23,keyboard
146.92,167.35,180.71,mug
219.34,207.66,217.04,mug
217.58,223.45,226.92,mug
157.38,157.71,144.33,laptop
225.08,225.51,224.96,calculator
221.37,222.15,221.56,bike
206.43,210.89,214.09,headphones
212.87,208.67,225.75,mouse
135.19,134.82,134.83,monitor
204.24,204.16,200.95,projector
237.0,234.13,232.95,calculator
201.86,199.86,203.64,laptop
233.3,232.12,231.75,projector
218.19,218.2,218.19,headphones
187.7,188.84,190.25,headphones
173.46,173.2,172.34,backpack
214.9,213.98,216.65,laptop
231.43,230.41,231.52,bike
213.92,213.74,212.39,calculator
220.81,221.06,224.87,mug
246.03,245.03,244.75,keyboard
187.23,190.49,185.92,calculator
236.68,236.42,239.15,bike
200.38,199.86,199.79,headphones
232.48,237.02,237.18,mug
175.09,175.09,175.09,backpack
162.53,160.76,160.43,backpack
199.47,200.2,199.58,mouse
216.8,215.34,214.17,headphones
175.07,174.74,174.59,projector
193.18,193.18,193.18,keyboard
169.65,175.22,179.84,backpack
137.92,141.49,146.51,monitor
213.13,213.15,213.36,headphones
224.99,223.26,222.47,headphones
227.94,228.6,230.71,mouse
227.13,227.82,230.13,bike
225.76,222.9,226.0,mug
181.03,179.54,178.81,mouse
119.27,111.75,129.84,backpack
226.98,224.45,225.87,projector
239.36,239.94,238.55,projector
211.74,211.65,211.65,headphones
208.76,201.38,193.43,laptop
197.05,196.29,195.73,keyboard
201.32,201.32,201.32,keyboard
227.87,227.35,228.04,headphones
177.92,176.73,175.67,keyboard
205.88,196.42,190.4,monitor
134.84,133.85,129.03,calculator
245.23,245.12,243.81,projector
166.53,160.78,167.62,monitor
251.55,251.51,251.52,headphones
148.44,178.44,191.43,laptop
146.15,180.12,207.0,mug
228.83,228.95,215.54,calculator
208.77,208.7,208.91,projector
211.21,211.18,204.82,calculator
234.52,238.04,239.82,mug
181.97,181.4,182.21,backpack
232.25,229.93,224.99,calculator
246.04,245.9,245.76,projector
197.38,195.9,195.55,keyboard
248.97,248.67,248.45,projector
216.88,222.36,225.2,mug
233.42,232.63,231.56,mouse
226.1,226.17,226.75,headphones
158.7,154.03,202.3,backpack
159.42,157.49,157.84,backpack
167.68,164.11,162.84,backpack
154.45,157.52,159.58,backpack
215.42,220.09,219.31,headphones
236.31,239.48,240.64,bike
204.12,202.35,202.02,laptop
138.49,137.58,139.05,backpack
213.09,213.78,211.98,backpack
199.16,199.27,199.17,calculator
196.9,198.19,199.88,mouse
222.52,221.25,220.02,monitor
172.67,172.21,172.17,keyboard
235.98,237.4,237.7,bike
154.33,151.53,151.65,monitor
202.78,202.76,202.89,mouse
171.85,215.85,229.92,mug
208.33,207.21,204.47,projector
205.82,205.66,202.86,calculator
236.97,237.91,238.13,bike
172.22,171.04,172.96,backpack
220.7,217.0,211.7,laptop
240.78,238.12,237.97,bike
172.98,172.97,173.59,calculator
209.12,207.3,201.87,calculator
239.08,238.35,238.45,laptop
183.68,176.07,174.34,calculator
206.05,205.23,205.49,keyboard
237.01,235.91,235.61,projector
188.76,191.03,191.84,projector
207.03,207.08,206.73,keyboard
233.09,229.95,229.43,keyboard
210.11,210.03,211.16,monitor
147.15,148.66,180.5,mug
175.29,164.6,141.99,monitor
179.02,178.8,177.76,monitor
198.59,202.98,198.35,monitor
235.47,234.76,233.54,bike
215.97,215.92,215.93,headphones
126.29,125.03,126.48,mug
